# generating input data....................
################################################
#
# merge sort runtime measurements
#
# column 1: N
# column 2: T min [ms] over random data
# column 3: T max [ms] over random data
# column 4: T min [ms] over ascending sorted data
# column 5: T max [ms] over ascending sorted data
# column 6: T min [ms] over descending sorted data
# column 7: T max [ms] over descending sorted data
# column 8: T min [ms] over chunkwise mixed sorted data
# column 9: T max [ms] over chunkwise mixed sorted data
     100     0.017     0.033     0.013     0.123     0.013     0.014     0.013      0.03
     120      0.02     0.021     0.016     0.016     0.015     0.016     0.016     0.018
     144     0.024     0.025     0.019      0.02     0.019      0.02      0.02     0.022
     172     0.029      0.03     0.023     0.024     0.023     0.026     0.023     0.025
     207     0.035     0.036     0.028     0.028     0.028     0.029     0.028     0.031
     248     0.042     0.043     0.033     0.033     0.033     0.034     0.033     0.036
     298     0.053     0.055     0.041     0.043     0.041     0.042     0.041     0.045
     358     0.064     0.066      0.05     0.052      0.05     0.067     0.051     0.056
     429     0.078     0.084     0.061     0.062     0.061     0.061     0.061     0.066
     515     0.095     0.105     0.072      0.08     0.072     0.074     0.074     0.077
     619     0.118      0.12      0.09     0.092      0.09       0.1     0.091     0.102
     743     0.145      0.16     0.113     0.117     0.112     0.116     0.112     0.119
     891     0.178     0.189     0.135     0.137     0.135      0.14     0.136     0.148
    1069     0.215     0.312     0.169      0.17     0.165     0.167     0.165     0.178
    1283     0.264     0.284     0.201     0.206     0.199       0.2     0.206     0.217
    1540     0.323     0.336     0.246     0.251     0.244     0.246     0.255     0.265
    1848     0.393     0.416     0.298     0.305     0.295     0.298     0.311     0.321
    2218     0.487     0.516     0.382     0.422     0.375     0.395     0.392     0.403
    2662     0.597     0.604      0.45     0.456     0.443     0.463     0.468     0.484
    3194     0.728      0.75     0.555     0.577     0.547     0.547      0.58     0.596
    3833     0.875     0.902     0.654     0.669     0.649     0.651     0.701     0.734
    4600     1.079     1.086      0.83      0.85     0.804      0.81      0.87     0.886
    5520      1.33     1.362     0.998     1.029     0.982     0.983     1.086     1.094
    6624     1.616     1.634     1.212     1.239     1.191     1.211     1.321     1.336
    7949      1.93     1.974     1.444     1.481     1.419     1.436      1.58     1.595
    9539     2.381     2.411     1.778     1.795     1.743      1.76     1.949     1.972
   11447     2.921     2.986     2.193     2.201      2.15     2.172     2.386     2.433
   13737     3.552     3.637     2.669     2.685     2.613     2.676     2.908     3.577
   16484     4.246      4.31     3.203     3.213     3.119     3.137     3.472     3.534
   19781     5.209     5.369     3.882     3.907     3.808     3.836     4.309     4.347
   23737     6.384     6.432     4.867     4.919     4.761     4.782     5.308      5.35
   28485     7.758      7.87     5.859     5.882     5.743     5.768     6.438     6.504
   34182     9.272     9.445     7.071     7.093     6.923     6.953     7.725     7.821
   41018    11.366    11.693     8.509     8.539     8.352     8.389     9.398     9.508
   49222    13.836    14.304    10.516    10.644    10.304     12.56    11.555    11.659
   59066    16.686    17.043    12.677      12.7    12.423    12.448    13.946    14.064
   70880    20.192    20.746    15.598    15.702    15.288    15.346    17.103    17.418
   85056    24.829    25.233    18.716    18.997     18.33    18.414    20.709    21.079
  102067    30.114    30.548     23.03    23.148     22.61    22.767    25.463     25.63
  122480    36.169    37.008    27.449    27.778    26.878    26.974     30.41    30.644
  146977    43.976    45.726    33.957    34.018    33.281    33.541    37.368    37.528
  176372    53.853    54.638    40.634     40.83     39.86    40.083    45.345    45.691
  211647    65.067    66.152    49.725    49.838    48.674    48.748    55.421    55.539
  253976     77.75    78.965     59.42    59.593    58.237    58.368    66.109    66.256
  304771    94.738    96.437    72.285    72.398    70.907    71.263    80.647    80.921
  365726   116.259   117.833    88.852    89.175    87.248    87.503    99.073    99.466
  438871   140.776   142.591   108.394   108.555   106.159   106.451   120.572   120.981
  526645    167.45   169.881   129.354    129.45   126.601   126.741    143.39   143.742
  631974   205.425   209.185   157.722   157.841   154.549   154.694   176.112    176.61
  758369   250.649   253.706   195.015   195.412   191.272   192.297   216.476   217.847
  910043   303.537    307.83   235.038   235.255   230.624   230.895   261.551   262.212
