##################################################
# vector with unsorted insertion, extraction based on find_max
# average operation times (over 100 samples) after N insertions
#        N	  insert   extract     total
     500	   0.060     3.810     3.870
     707	   0.050     5.200     5.250
     999	   0.190     6.090     6.280
    1414	   0.050     8.720     8.770
    1999	   0.160    11.550    11.710
    2828	   0.050    15.550    15.600
    3999	   0.210    22.670    22.880
    5656	   0.040    32.510    32.550
    7999	   0.030    46.010    46.040
   11312	   0.040    65.940    65.980
   15998	   0.040    91.950    91.990
   22625	   0.050   127.250   127.300
   31996	   0.050   182.000   182.050


##################################################
# vector with sorted insertion, extraction from the end
# average operation times (over 100 samples) after N insertions
#        N	  insert   extract     total
     500	   2.030     0.040     2.070
     707	   2.800     0.030     2.830
     999	   3.810     0.040     3.850
    1414	   5.460     0.030     5.490
    1999	   7.520     0.040     7.560
    2828	  10.630     0.040    10.670
    3999	  14.890     0.030    14.920
    5656	  20.940     0.030    20.970
    7999	  29.700     0.040    29.740
   11312	  41.800     0.030    41.830
   15998	  59.520     0.030    59.550
   22625	  84.020     0.030    84.050
   31996	 118.630     0.040   118.670


##################################################
# binary search tree (pmax = 1000)
# average operation times (over 10000 samples) after N insertions
#        N	  insert   extract     total
   50000	   0.349     0.483     0.832
   70710	   0.375     0.514     0.889
   99998	   0.438     0.537     0.976
  141417	   0.452     0.547     0.998
  199992	   0.262     0.578     0.841
  282829	   0.413     0.593     1.006
  399976	   0.462     0.642     1.104
  565647	   0.462     0.632     1.094
  799938	   0.431     0.665     1.095
 1131273	   0.619     0.680     1.300
 1599846	   0.560     0.705     1.264
 2262503	   0.495     0.689     1.184
 3199631	   0.527     0.729     1.256
 4524919	   0.343     0.740     1.083
 6399140	   0.340     1.221     1.561
 9049664	   0.538     3.293     3.831
12798036	   0.572     8.039     8.611
18098982	   0.524    11.974    12.498


##################################################
# binary search tree (pmax = 10000)
# average operation times (over 10000 samples) after N insertions
#        N	  insert   extract     total
   50000	   1.108     0.514     1.621
   70710	   0.438     0.520     0.957
   99998	   0.372     0.550     0.921
  141417	   0.405     0.579     0.984
  199992	   0.415     0.604     1.019
  282829	   0.534     0.635     1.169
  399976	   0.357     0.651     1.009
  565647	   0.413     0.682     1.095
  799938	   0.294     0.709     1.004
 1131273	   0.581     0.688     1.269
 1599846	   0.383     0.719     1.103
 2262503	   0.514     0.723     1.238
 3199631	   0.436     0.756     1.193
 4524919	   0.551     0.756     1.306
 6399140	   0.537     0.767     1.305
 9049664	   0.603     0.798     1.401
12798036	   0.739     2.755     3.494
18098982	   0.745    16.039    16.785


##################################################
# heap
# average operation times (over 10000 samples) after N insertions
#        N	  insert   extract     total
   50000	   0.104     0.447     0.551
   70710	   0.082     0.456     0.538
   99998	   0.084     0.484     0.568
  141417	   0.041     0.516     0.557
  199992	   0.041     0.502     0.543
  282829	   0.041     0.527     0.567
  399976	   0.041     0.545     0.586
  565647	   0.041     0.598     0.639
  799938	   0.041     0.648     0.689
 1131273	   0.042     0.729     0.771
 1599846	   0.042     0.825     0.867
 2262503	   0.042     0.911     0.953
 3199631	   0.046     1.050     1.095
 4524919	   0.041     1.214     1.255
 6399140	   0.041     1.176     1.217
 9049664	   0.042     1.267     1.309
12798036	   0.041     1.360     1.401
18098982	   0.042     1.653     1.695
