##################################################
# vector with unsorted insertion, extraction based on find_max
# average operation times (over 100 samples) after N insertions
#        N	  insert   extract     total
     500	   0.050     4.110     4.160
     707	   0.050     5.120     5.170
     999	   0.160     6.160     6.320
    1414	   0.040     8.560     8.600
    1999	   0.140    11.890    12.030
    2828	   0.050    15.500    15.550
    3999	   0.140    22.540    22.680
    5656	   0.040    31.650    31.690
    7999	   0.040    46.130    46.170
   11312	   0.050    63.600    63.650
   15998	   0.050    86.880    86.930
   22625	   0.050   130.230   130.280
   31996	   0.060   178.400   178.460


##################################################
# vector with sorted insertion, extraction from the end
# average operation times (over 100 samples) after N insertions
#        N	  insert   extract     total
     500	   2.040     0.030     2.070
     707	   2.780     0.040     2.820
     999	   3.800     0.040     3.840
    1414	   5.500     0.030     5.530
    1999	   7.630     0.020     7.650
    2828	  10.620     0.030    10.650
    3999	  14.870     0.040    14.910
    5656	  20.900     0.020    20.920
    7999	  29.660     0.040    29.700
   11312	  41.880     0.030    41.910
   15998	  59.320     0.020    59.340
   22625	  84.290     0.030    84.320
   31996	 119.390     0.030   119.420


##################################################
# heap
# average operation times (over 500 samples) after N insertions
#        N	  insert   extract     total
    5000	   0.126     0.352     0.478
    7070	   0.068     0.362     0.430
    9999	   0.066     0.402     0.468
   14141	   0.056     0.390     0.446
   19999	   0.066     0.404     0.470
   28282	   0.072     0.416     0.488
   39997	   0.044     0.436     0.480
   56564	   0.044     0.446     0.490
   79993	   0.044     0.462     0.506
  113127	   0.042     0.476     0.518
  159984	   0.048     0.494     0.542
  226250	   0.066     0.598     0.664
  319963	   0.044     0.622     0.666
  452491	   0.066     0.624     0.690
