# vector with unsorted insertion, extraction based on find_max
#   N	   T tot     T ins    T both     T ext
   10	      11         7         2         2
   14	       7         1         4         2
   19	      10         2         5         3
   28	      14         2         7         5
   39	      22         1        14         7
   56	      44         3        26        15
   79	      74         2        48        24
  113	     124         4        78        42
  159	     263         3       177        83
  226	     488         5       328       155
  319	     988         7       680       301
  452	    1994         9      1346       639
  639	    3447        14      2271      1162
  904	    7005        18      4792      2195
 1279	   13276        30      9028      4218
 1809	   28109        36     19384      8689
 2559	   55807        51     38575     17181
 3619	  103557        71     70234     33252
 5119	  218416        98    150951     67367
 7239	  439048       139    303846    135063
10238	  835405       202    567137    268066
14478	 1777351       284   1233837    543230
20475	 3548679       391   2463069   1085219
28956	 7133427       541   4946772   2186114


# vector with sorted insertion, extraction from the end
#   N	   T tot     T ins    T both     T ext
   10	      13         9         3         1
   14	       6         3         3         0
   19	      15        10         4         1
   28	      11         5         4         2
   39	      18         7         9         2
   56	      28         8        17         3
   79	      48        17        28         3
  113	      91        29        58         4
  159	     161        54       103         4
  226	     310       103       200         7
  319	     593       196       388         9
  452	    1166       388       766        12
  639	    2286       755      1515        16
  904	    4692      1539      3130        23
 1279	    9239      3040      6165        34
 1809	   18268      6084     12139        45
 2559	   36406     12078     24265        63
 3619	   72922     24082     48753        87
 5119	  146443     48025     98295       123
 7239	  292484     95918    196393       173
10238	  586938    192114    394578       246
14478	 1173301    385995    786959       347
20475	 2378572    774966   1603115       491
28956	 4757868   1553167   3204009       692


# binary search tree, extraction via rem_max
#   N	   T tot     T ins    T both     T ext
   10	      11         4         5         2
   14	      10         4         5         1
   19	      20         6        11         3
   28	      18         6         8         4
   39	      26        10        10         6
   56	      34        12        15         7
   79	      50        16        24        10
  113	      87        42        35        10
  159	     110        38        44        28
  226	     160        53        68        39
  319	     245        89       101        55
  452	     358       129       148        81
  639	     418       179       177        62
  904	     671       269       316        86
 1279	     971       428       416       127
 1809	    1387       576       633       178
 2559	    1881       969       655       257
 3619	    3581      1329      1588       664
 5119	    5171      1894      2289       988
 7239	    7658      2983      3317      1358
10238	   11185      4345      4826      2014
14478	   16303      6401      7090      2812
20475	   18394      9270      7032      2092
28956	   26946     14307      9659      2980
40950	   40327     20673     14800      4854
57912	   59018     30023     21424      7571
81899	   87255     44294     31294     11667
115822	  133542     66782     48752     18008
163796	  211959    111153     72281     28525
231640	  353182    173635    132879     46668
327585	  510623    279009    158977     72637
463271	  827362    438859    282545    105958
655158	 1308911    691823    451589    165499
926525	 1954423   1099976    613472    240975
1310292	 2681251   1674955    642742    363554
1853015	 4539726   2632399   1365604    541723
2620535	 6540620   3948755   1787708    804157


# heap
#   N	   T tot     T ins    T both     T ext
   10	      33        28         3         2
   14	       7         2         3         2
   19	       8         1         4         3
   28	      11         2         5         4
   39	      18         3        10         5
   56	      23         3        12         8
   79	      34         4        17        13
  113	      49         6        24        19
  159	      81        10        42        29
  226	     117        13        61        43
  319	     175        18        92        65
  452	     253        25       131        97
  639	     384        37       203       144
  904	     559        52       290       217
 1279	     851        82       435       334
 1809	    1214       101       631       482
 2559	    1828       152       948       728
 3619	    2627       200      1367      1060
 5119	    3914       284      2048      1582
 7239	    5726       409      2988      2329
10238	    8368       571      4376      3421
14478	   12235       826      6344      5065
20475	   12447      1120      4647      6680
28956	   18058      1618      6656      9784
40950	   26343      2261      9787     14295
57912	   38495      3231     14198     21066
81899	   55946      4525     20669     30752
115822	   81368      6338     30078     44952
163796	  118804      8975     43877     65952
231640	  172720     12721     63958     96041
327585	  254263     18051     95455    140757
463271	  369507     25464    139574    204469
655158	  535517     35910    199669    299938
926525	  792033     50627    305503    435903
1310292	 1186112     71661    480430    634021
1853015	 1750970    101493    720035    929442
2620535	 2650997    143324   1126971   1380702
