# generating input data....................
################################################
#
# insertion sort runtime measurements
#
# column 1: N
# column 2: T min [ms] over random data
# column 3: T max [ms] over random data
# column 4: T min [ms] over ascending sorted data
# column 5: T max [ms] over ascending sorted data
# column 6: T min [ms] over descending sorted data
# column 7: T max [ms] over descending sorted data
# column 8: T min [ms] over chunkwise mixed sorted data
# column 9: T max [ms] over chunkwise mixed sorted data
      20         0     0.002         0     0.001         0     0.001         0     0.001
      24     0.001     0.002         0     0.001         0     0.001         0     0.002
      28     0.001     0.002         0     0.001         0     0.001         0     0.003
      34     0.001     0.003         0     0.001         0     0.001         0     0.004
      41     0.003     0.003         0     0.001         0     0.001     0.001     0.005
      49     0.004     0.005         0     0.001         0     0.002         0     0.007
      59     0.006     0.006         0     0.001         0     0.005         0     0.011
      71     0.008     0.009     0.001     0.001     0.003     0.007         0     0.015
      85     0.012     0.014         0     0.001     0.009     0.011     0.001     0.021
     103     0.017     0.019     0.001     0.001     0.017     0.022     0.001     0.033
     123     0.026     0.028     0.001     0.002     0.026     0.034     0.001     0.047
     148     0.037      0.04     0.001     0.002     0.046     0.052     0.001      0.07
     178     0.047     0.057     0.001     0.002     0.072     0.079     0.002     0.101
     213     0.069     0.078     0.002     0.003      0.11     0.118     0.002     0.143
     256     0.088     0.098     0.002     0.003     0.138     0.144     0.002     0.183
     308     0.127      0.14     0.002     0.003     0.205     0.211     0.006     0.261
     369     0.187     0.197     0.002     0.003     0.302     0.331     0.044     0.302
     443     0.258     0.282     0.003     0.004     0.449     0.468     0.142     0.453
     532     0.386     0.432     0.004     0.005     0.709     0.744      0.23     0.696
     638     0.574     0.613     0.005     0.006     1.029     1.103     0.309     0.866
     766      0.82     0.861     0.006     0.007     1.495     1.573     0.463     1.052
     920     1.161     1.202     0.007     0.008     2.169     2.269     0.957     1.408
    1104     1.677     1.754     0.009     0.009     3.141     3.262     1.384     1.881
    1324       2.4      2.47     0.011     0.011     4.527     4.704     2.002      2.46
    1589     3.434     3.551     0.013     0.013      6.53     6.633     2.929     3.466
    1907     4.955       5.1     0.015     0.016     9.626     9.894     4.445     4.891
    2289     7.178     7.305     0.018     0.032    13.911     14.22     6.403     7.613
    2747    10.282    10.544     0.022     0.023    20.186    20.581     8.695    10.487
    3296    14.635    15.385     0.026     0.027    29.336    29.558    13.565    15.681
    3956    21.259    21.817     0.032     0.032        42    42.686      20.5    22.279
    4747    30.444    31.398     0.038     0.052    60.927      61.5     30.69    31.578
    5697    44.137    45.376     0.046     0.047    88.333    89.127    43.538     46.85
    6836    63.592     65.19     0.055     0.069    128.07   128.244    62.942     65.66
    8203      91.4     94.43     0.066      0.08   184.809   185.036    93.062    93.558
    9844   133.123    136.08     0.079     0.079   265.927   267.332   131.098   136.536
   11813   191.517    194.19     0.094     0.095   383.388   384.776   189.028   195.277
   14176   275.078   278.824     0.114     0.141    554.95   555.324   271.361    281.36
   17011   397.868   401.325     0.136     0.137   799.504   799.912   397.496   404.595
   20413   572.392   580.629     0.163     0.165    1151.2   1154.29   568.395   581.224
   24496   829.902   836.951     0.196     0.197   1659.47   1660.65   831.601   838.798
   29395   1195.51   1201.98     0.235     0.237   2390.81   2393.91    1182.5   1196.82
   35274   1722.48   1728.75     0.283     0.284   3444.14   3446.25   1703.58   1728.75
   42329   2482.29    2492.1      0.34     0.369   4959.25   4964.04   2464.05   2486.32
