# BS tree order dependency (random/sorted/reverse/duplicates)
#    N               insert time                          size                        height
   200       1     4     3     0      200    200    200     39       17    199    199     11
   283       1     5     5     0      283    283    283     51       17    282    282      9
   400       0     4     1     0      400    400    400     71       14    399    399     10
   566       0     2     3     0      566    566    566     92       21    565    565     13
   800       1     5     5     0      800    800    800    144       19    799    799     11
  1131       0     9     8     1     1131   1131   1131    205       26   1130   1130     19
  1599       0    17    18     0     1599   1599   1599    278       24   1598   1598     17
  2261       1    37    36     1     2257   2257   2257    413       25   2256   2256     15
  3198       1    72    65     1     3185   3185   3185    575       25   3184   3184     19
  4523       2   222   164     1     4502   4502   4502    806       30   4501   4501     20
  6396       3   379   278     2     6344   6344   6344   1164       29   6343   6343     24
  9045       4   577   538     2     8936   8936   8936   1657       31   8935   8935     23
 12792       5  1164  1141     2    12593  12593  12593   2332       29  12592  12592     26
